frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.00, 0.00, 0.05, 0.00, 0.00, 1.86, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2,  0,  0.040,  0.98,  1, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.08, 0.00, 0.00, 2.01, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
3,  0,  0.080,  0.98,  1, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.00, 0.08, 0.00, 0.00, 2.03, 0.08, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.120,  0.98,  1, 0.00, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.00, 0.08, 0.00, 0.00, 1.84, 0.27, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
5,  0,  0.160,  0.98,  1, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 0.14, 0.00, 0.00, 1.38, 0.55, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
6,  0,  0.200,  0.98,  1, 0.00, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.34, 0.04, 0.04, 0.81, 0.73, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.240,  0.98,  1, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.16, 0.20, 0.31, 0.87, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.280,  0.98,  1, 0.00, 0.00, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.66, 0.39, 0.38, 0.11, 0.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.320,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.18, 0.08, 0.11, 0.49, 0.50, 0.41, 0.69, 1.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.360,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.12, 0.21, 0.29, 0.59, 0.29, 1.31, 1.78, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0,  0.400,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.19, 0.40, 0.11, 0.46, 0.13, 1.96, 2.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0,  0.440,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.52, 0.23, 0.45, 0.16, 0.39, 0.08, 2.01, 2.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0,  0.480,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.24, 0.61, 0.28, 0.33, 0.05, 2.05, 2.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0,  0.520,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.55, 0.37, 0.53, 0.32, 0.30, 0.10, 1.75, 1.63, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
15,  0,  0.560,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, 0.49, 0.43, 0.23, 0.29, 0.21, 1.36, 0.94, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.600,  0.93,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.74, 0.62, 0.18, 0.10, 0.18, 0.33, 1.03, 0.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.640,  0.93,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.05, 0.00, 0.82, 0.68, 0.10, 0.00, 0.29, 0.31, 0.97, 0.00, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.680,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.10, 0.00, 0.92, 0.81, 0.10, 0.00, 0.43, 0.18, 0.89, 0.00, 0.90, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.720,  0.93,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 1.01, 0.98, 0.09, 0.00, 0.56, 0.06, 0.72, 0.00, 1.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
20,  0,  0.760,  0.93,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 1.04, 1.01, 0.07, 0.00, 0.48, 0.00, 0.69, 0.00, 2.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
21,  0,  0.800,  0.93,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 1.02, 0.93, 0.13, 0.00, 0.33, 0.00, 0.88, 0.22, 1.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
22,  0,  0.840,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.96, 0.89, 0.23, 0.04, 0.26, 0.00, 1.21, 0.51, 0.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
23,  0,  0.880,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.96, 0.93, 0.30, 0.08, 0.33, 0.06, 1.37, 0.75, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.920,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.94, 0.93, 0.18, 0.15, 0.43, 0.16, 1.27, 0.53, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.960,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.00, 0.93, 0.95, 0.08, 0.18, 0.45, 0.26, 0.99, 0.24, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  1.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.94, 0.98, 0.01, 0.20, 0.41, 0.33, 0.74, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  1.040,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.97, 1.05, 0.04, 0.14, 0.38, 0.33, 0.65, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  1.080,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.96, 1.04, 0.16, 0.10, 0.45, 0.34, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  1.120,  0.98,  1, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.01, 0.00, 0.82, 0.84, 0.20, 0.08, 0.44, 0.36, 0.53, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  1.160,  0.98,  1, 0.00, 0.00, 0.00, 0.08, 0.00, 0.00, 0.05, 0.00, 0.68, 0.65, 0.25, 0.13, 0.41, 0.35, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  1.200,  0.98,  1, 0.00, 0.00, 0.00, 0.26, 0.00, 0.00, 0.10, 0.00, 0.55, 0.48, 0.28, 0.15, 0.35, 0.34, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  1.240,  0.98,  1, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.17, 0.00, 0.52, 0.47, 0.32, 0.16, 0.39, 0.33, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  1.280,  0.98,  1, 0.00, 0.00, 0.00, 0.35, 0.00, 0.00, 0.20, 0.00, 0.53, 0.54, 0.35, 0.19, 0.42, 0.40, 0.46, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  1.320,  0.98,  1, 0.00, 0.00, 0.00, 0.24, 0.00, 0.00, 0.19, 0.00, 0.55, 0.49, 0.26, 0.14, 0.37, 0.38, 0.64, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  1.360,  0.93,  1, 0.00, 0.00, 0.00, 0.17, 0.00, 0.00, 0.13, 0.00, 0.60, 0.38, 0.25, 0.09, 0.25, 0.38, 0.80, 0.08, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  1.400,  0.93,  1, 0.00, 0.00, 0.00, 0.23, 0.00, 0.00, 0.12, 0.00, 0.62, 0.23, 0.21, 0.00, 0.14, 0.33, 1.09, 0.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  1.440,  0.93,  1, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.09, 0.00, 0.64, 0.21, 0.23, 0.00, 0.09, 0.32, 1.12, 0.16, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  1.480,  0.93,  1, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.07, 0.00, 0.65, 0.22, 0.18, 0.00, 0.10, 0.30, 1.19, 0.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.520,  0.93,  1, 0.00, 0.00, 0.00, 0.19, 0.00, 0.00, 0.04, 0.00, 0.66, 0.18, 0.15, 0.00, 0.14, 0.32, 1.18, 0.20, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
40,  0,  1.560,  0.93,  1, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.03, 0.00, 0.65, 0.11, 0.08, 0.00, 0.14, 0.32, 1.21, 0.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
41,  0,  1.600,  0.93,  1, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.03, 0.00, 0.66, 0.07, 0.13, 0.00, 0.20, 0.32, 1.26, 0.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
42,  0,  1.640,  0.98,  1, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.02, 0.00, 0.64, 0.07, 0.19, 0.01, 0.20, 0.30, 1.33, 0.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
43,  0,  1.680,  0.98,  1, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.03, 0.00, 0.61, 0.08, 0.34, 0.05, 0.34, 0.24, 1.32, 0.42, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
44,  0,  1.720,  0.98,  1, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.03, 0.09, 0.57, 0.19, 0.45, 0.31, 0.38, 0.15, 1.57, 1.18, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
45,  0,  1.760,  0.98,  1, 0.00, 0.00, 0.00, 0.02, 0.04, 0.03, 0.01, 0.21, 0.59, 0.27, 0.57, 0.63, 0.45, 0.08, 1.87, 1.85, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
46,  0,  1.800,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.06, 0.03, 0.00, 0.34, 0.62, 0.43, 0.64, 0.85, 0.45, 0.10, 2.18, 2.37, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
47,  0,  1.840,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.08, 0.03, 0.00, 0.30, 0.66, 0.46, 0.67, 0.82, 0.55, 0.15, 2.15, 2.27, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
48,  0,  1.880,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.18, 0.76, 0.48, 0.57, 0.75, 0.69, 0.22, 1.89, 2.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
49,  0,  1.920,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 0.00, 0.06, 1.06, 0.59, 0.34, 0.58, 0.93, 0.38, 1.53, 1.78, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
50,  0,  1.960,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.02, 0.00, 1.39, 0.79, 0.12, 0.35, 1.06, 0.55, 1.18, 1.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  2.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.03, 0.00, 1.73, 1.03, 0.00, 0.09, 1.15, 0.69, 1.02, 0.64, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  2.040,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.05, 0.00, 1.89, 1.06, 0.00, 0.02, 1.16, 0.75, 1.04, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  2.080,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 0.05, 0.01, 1.99, 1.01, 0.00, 0.00, 1.25, 0.80, 1.12, 0.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  2.120,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 0.08, 0.07, 1.99, 1.04, 0.01, 0.02, 1.30, 0.73, 1.14, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  2.160,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.45, 0.00, 0.11, 0.14, 1.89, 1.04, 0.01, 0.11, 1.37, 0.57, 1.31, 0.82, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  2.200,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.41, 0.00, 0.10, 0.22, 1.69, 0.99, 0.09, 0.21, 1.37, 0.38, 1.49, 1.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  2.240,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.34, 0.00, 0.09, 0.16, 1.47, 0.92, 0.12, 0.29, 1.42, 0.34, 1.59, 1.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  2.280,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.21, 0.00, 0.09, 0.08, 1.31, 0.87, 0.13, 0.33, 1.34, 0.45, 1.30, 1.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  2.320,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.11, 0.00, 1.13, 0.77, 0.06, 0.31, 1.17, 0.55, 0.86, 0.85, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  2.360,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.02, 0.00, 0.09, 0.00, 0.91, 0.48, 0.01, 0.29, 1.00, 0.56, 0.49, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  2.400,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.05, 0.00, 0.65, 0.21, 0.00, 0.24, 0.92, 0.52, 0.30, 0.22, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  2.440,  0.98,  1, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 0.01, 0.00, 0.47, 0.03, 0.00, 0.25, 0.86, 0.48, 0.19, 0.12, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  2.480,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.00, 0.41, 0.62, 0.49, 0.09, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
64,  0,  2.520,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.50, 0.38, 0.50, 0.03, 0.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  2.560,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.10, 0.00, 0.68, 0.25, 0.68, 0.00, 0.73, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
66,  0,  2.600,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.40, 0.00, 0.73, 0.51, 0.95, 0.00, 1.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
67,  0,  2.640,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.34, 0.77, 0.00, 0.79, 0.94, 1.27, 0.00, 1.85, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00
68,  0,  2.680,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 1.05, 0.00, 0.79, 1.17, 1.50, 0.00, 2.12, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00
69,  0,  2.720,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.67, 1.06, 0.00, 0.85, 1.40, 1.66, 0.00, 2.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00
70,  0,  2.760,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.80, 0.91, 0.00, 0.90, 1.38, 1.78, 0.00, 1.90, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00
71,  0,  2.800,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.94, 0.77, 0.00, 0.77, 1.60, 1.70, 0.03, 1.88, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00
